"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00003145","1982-01-11","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    3",",,X","    0",",,X","    0",",,X","  206",",,X","   83",",,X",,,,," 1030",",,X",,,,,"   70",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-12","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  211",",,X","  100",",,X",,,,," 2324",",,X",,,,,"  340",",,X",,,,,"  113",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-13","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   67",",,X",,,,," 1748",",,X",,,,,"   20",",,X",,,,,"   93",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-14","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   56",",,X",,,,," 2136",",,X",,,,,"  350",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-15","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   56",",,X",,,,," 2218",",,X",,,,,"  360",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-16","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   67",",,X",,,,," 1748",",,X",,,,,"   40",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-17","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  239",",,X","   61",",,X",,,,," 1736",",,X",,,,,"   30",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-18","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   67",",,X",,,,," 0542",",,X",,,,,"  150",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-19","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","  100",",,X",,,,," 2012",",,X",,,,,"  330",",,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-20","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   67",",,X",,,,," 0230",",,X",,,,,"  210",",,X",,,,,"  108",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-21","32.65","-114.61667","64.9","YUMA MCAS, AZ US","   20",",,X","    0",",,X","    0",",,X","  133",",,X","   72",",,X",,,,," 2312",",,X",,,,,"  310",",,X",,,,,"  123",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-22","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  156",",,X","   28",",,X",,,,," 2354",",,X",,,,,"   10",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-23","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  167",",,X","   33",",,X",,,,," 2230",",,X",,,,,"  350",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-24","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  206",",,X","   67",",,X",,,,," 1836",",,X",,,,,"  360",",,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-25","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  233",",,X","   83",",,X",,,,," 1148",",,X",,,,,"   20",",,X",,,,,"   77",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-26","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","   83",",,X",,,,," 0236",",,X",,,,,"  180",",,X",,,,,"   51",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-27","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   72",",,X",,,,," 2024",",,X",,,,,"   40",",,X",,,,,"   51",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-28","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","  106",",,X",,,,," 2148",",,X",,,,,"  290",",,X",,,,,"  113",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-29","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   72",",,X",,,,," 2130",",,X",,,,,"  350",",,X",,,,,"  113",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-30","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  206",",,X","   72",",,X",,,,," 1900",",,X",,,,,"  340",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-01-31","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","   61",",,X",,,,," 2024",",,X",,,,,"  360",",,X",,,,,"   93",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-01","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   61",",,X",,,,," 2054",",,X",,,,,"  350",",,X",,,,,"  123",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-02","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   78",",,X",,,,," 1824",",,X",,,,,"  340",",,X",,,,,"  108",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-03","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   44",",,X",,,,," 0642",",,X",,,,,"  150",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-04","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   67",",,X",,,,," 2212",",,X",,,,,"  290",",,X",,,,,"   93",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-05","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   78",",,X",,,,," 1442",",,X",,,,,"  360",",,X",,,,,"  129",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-06","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   72",",,X",,,,," 1036",",,X",,,,,"   10",",,X",,,,,"  118",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-07","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   78",",,X",,,,," 1606",",,X",,,,,"  350",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-08","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  178",",,X","   89",",,X",,,,," 1842",",,X",,,,,"  170",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-09","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0","T,,X","    0",",,X","    0",",,X","  206",",,X","   83",",,X",,,,," 1900",",,X",,,,,"  360",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-10","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    5",",,X","    0",",,X","    0",",,X","  211",",,X","   94",",,X",,,,," 0348",",,X",,,,,"  150",",,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-11","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  206",",,X","  122",",,X",,,,," 2218",",,X",,,,,"  350",",,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-12","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   89",",,X",,,,," 0124",",,X",,,,,"  350",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-13","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  239",",,X","  100",",,X",,,,," 1654",",,X",,,,,"  360",",,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-14","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  117",",,X",,,,," 2212",",,X",,,,,"  230",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-15","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  117",",,X",,,,," 1942",",,X",,,,,"  270",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-16","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  128",",,X",,,,," 2212",",,X",,,,,"  290",",,X",,,,,"   93",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-17","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  289",",,X","  117",",,X",,,,," 0506",",,X",,,,,"  350",",,X",,,,,"   77",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-18","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  256",",,X","  161",",,X",,,,," 2148",",,X",,,,,"  360",",,X",,,,,"  164",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-19","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  156",",,X",,,,," 2048",",,X",,,,,"   10",",,X",,,,,"  129",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-20","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  306",",,X","  133",",,X",,,,," 2318",",,X",,,,,"  330",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-21","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  322",",,X","  117",",,X",,,,," 2300",",,X",,,,,"  270",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-22","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  328",",,X","  128",",,X",,,,," 0318",",,X",,,,,"  220",",,X",,,,,"   46",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-23","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  300",",,X","  161",",,X",,,,," 0536",",,X",,,,,"  160",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-24","32.65","-114.61667","64.9","YUMA MCAS, AZ US","   41",",,X","    0",",,X","    0",",,X","  183",",,X","  139",",,X",,,,," 1736",",,X",,,,,"  180",",,X",,,,,"  113",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-25","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  233",",,X","  122",",,X",,,,," 2342",",,X",,,,,"  220",",,X",,,,,"   46",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-26","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","  111",",,X",,,,," 1918",",,X",,,,,"   30",",,X",,,,,"   46",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-27","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  283",",,X","  139",",,X",,,,," 2200",",,X",,,,,"   30",",,X",,,,,"   51",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-02-28","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  294",",,X","  128",",,X",,,,," 2118",",,X",,,,,"   30",",,X",,,,,"   62",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-01","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    3",",,X","    0",",,X","    0",",,X","  272",",,X","  139",",,X",,,,," 0430",",,X",,,,,"  310",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-02","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0","T,,X","    0",",,X","    0",",,X","  250",",,X","  144",",,X",,,,," 0618",",,X",,,,,"  280",",,X",,,,,"  144",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-03","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","  106",",,X",,,,," 0718",",,X",,,,,"  280",",,X",,,,,"  108",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-04","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  244",",,X","   83",",,X",,,,," 0548",",,X",,,,,"  160",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-05","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","  100",",,X",,,,," 1818",",,X",,,,,"   20",",,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-06","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  100",",,X",,,,," 1254",",,X",,,,,"   10",",,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-07","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","   83",",,X",,,,," 1754",",,X",,,,,"   40",",,X",,,,,"   51",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-08","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  133",",,X",,,,," 2218",",,X",,,,,"  280",",,X",,,,,"   41",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-09","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  306",",,X","  111",",,X",,,,," 0112",",,X",,,,,"  270",",,X",,,,,"   46",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-10","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  311",",,X","  161",",,X",,,,," 0654",",,X",,,,,"  140",",,X",,,,,"   41",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-11","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    5",",,X","    0",",,X","    0",",,X","  239",",,X","  167",",,X",,,,," 0830",",,X",,,,,"  300",",,X",,,,,"   77",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-12","32.65","-114.61667","64.9","YUMA MCAS, AZ US","  180",",,X","    0",",,X","    0",",,X","  206",",,X","  128",",,X",,,,," 0006",",,X",,,,,"  250",",,X",,,,,"  149",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-13","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   94",",,X",,,,," 0624",",,X",,,,,"  150",",,X",,,,,"   77",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-14","32.65","-114.61667","64.9","YUMA MCAS, AZ US","  147",",,X","    0",",,X","    0",",,X","  217",",,X","  122",",,X",,,,," 0124",",,X",,,,,"  240",",,X",,,,,"  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-15","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","  100",",,X",,,,," 0500",",,X",,,,,"  310",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-16","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","  106",",,X",,,,," 2118",",,X",,,,,"  250",",,X",,,,,"   77",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-17","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   83",",,X",,,,," 0030",",,X",,,,,"  160",",,X",,,,,"  118",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-18","32.65","-114.61667","64.9","YUMA MCAS, AZ US","   41",",,X","    0",",,X","    0",",,X","  178",",,X","  100",",,X",,,,," 2124",",,X",,,,,"  290",",,X",,,,,"  159",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-19","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   67",",,X",,,,," 1818",",,X",,,,,"  300",",,X",,,,,"  123",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-20","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   89",",,X",,,,," 2224",",,X",,,,,"  320",",,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-21","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  239",",,X","   94",",,X",,,,," 1648",",,X",,,,,"  350",",,X",,,,,"   87",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-22","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  117",",,X",,,,," 1954",",,X",,,,,"  360",",,X",,,,,"  108",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-23","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  117",",,X",,,,," 1930",",,X",,,,,"  360",",,X",,,,,"   82",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-24","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  294",",,X","  111",",,X",,,,," 2218",",,X",,,,,"  270",",,X",,,,,"   51",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-25","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  294",",,X","  117",",,X",,,,," 2336",",,X",,,,,"  210",",,X",,,,,"   57",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-26","32.65","-114.61667","64.9","YUMA MCAS, AZ US","   76",",,X","    0",",,X","    0",",,X","  244",",,X","  150",",,X",,,,," 2224",",,X",,,,,"  270",",,X",,,,,"   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-27","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  133",",,X",,,,," 2212",",,X",,,,,"  240",",,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-28","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  133",",,X",,,,," 0418",",,X",,,,,"  290",",,X",,,,,"  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-29","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","  161",",,X",,,,," 1012",",,X",,,,,"  290",",,X",,,,,"  134",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-30","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   94",",,X",,,,," 1800",",,X",,,,,"  290",",,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-03-31","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  117",",,X",,,,," 2112",",,X",,,,,"  210",",,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-04-01","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0","T,,X","    0",",,X","    0",",,X","  261",",,X","  122",",,X",,,,," 2342",",,X",,,,,"  280",",,X",,,,,"  175",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-04-02","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","   78",",,X",,,,," 0730",",,X",,,,,"  290",",,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-04-03","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","  117",",,X",,,,," 2130",",,X",,,,,"  240",",,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00003145","1982-04-04","32.65","-114.61667","64.9","YUMA MCAS, AZ US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  139",",,X",,,,," 1736",",,X",,,,,"  280",",,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,,,,,
